"","study","time","cra","cra_lower","cra_upper","msl","msl_lower","msl_upper","sortby","display","cra_0","msl_0","cra_se","msl_se","cra_k","msl_k"
"1","2023 Non-TAP Studies",0,1.51969456366551,1.40767979294593,1.64062280243532,1.09398345844606,0.988118980447308,1.21118997917824,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"2","2023 Non-TAP Studies",1,1.47947910017378,1.37716924072892,1.58938955584898,1.09153528796376,0.988413583831071,1.2054157332117,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"3","2023 Non-TAP Studies",2,1.44280541414541,1.34921326050568,1.54288986331716,1.08915345325189,0.988700924030283,1.19981201180124,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"4","2023 Non-TAP Studies",3,1.40930588248494,1.32356311557,1.5006032179669,1.08683602899857,0.988981178054596,1.1943731388831,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"5","2023 Non-TAP Studies",4,1.37865808473739,1.29999865408313,1.4620769864968,1.0845811520728,0.989254518701205,1.18909365910802,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"6","2023 Non-TAP Studies",5,1.35057836161059,1.27832448817769,1.4269161920312,1.08238701921401,0.989521114650069,1.18396832772719,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"7","2023 Non-TAP Studies",6,1.32481640729115,1.2583667511003,1.39477502206186,1.08025188482131,0.989781130557232,1.17899210101431,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"8","2023 Non-TAP Studies",7,1.30115071280808,1.23997033573785,1.36534974155937,1.07817405883765,0.990034727146264,1.17416012719189,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"9","2023 Non-TAP Studies",8,1.27938471275431,1.22299653545146,1.3383727555902,1.07615190472416,0.990282061297859,1.16946773783183,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"10","2023 Non-TAP Studies",9,1.25934351551143,1.20732102228153,1.31360761619446,1.07418383752029,0.990523286137606,1.16491043970219,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"11","2023 Non-TAP Studies",10,1.24087111931966,1.19283210900468,1.29084480803123,1.07226832198551,0.990758551121964,1.16048390703426,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"12","2023 Non-TAP Studies",11,1.22382803431279,1.17942925077867,1.26989817878526,1.07040387081879,0.990988002122462,1.15618397418525,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
"13","2023 Non-TAP Studies",12,1.20808924493269,1.16702174964163,1.25060190538028,1.06858904295199,0.991211781508156,1.15200662867388,"2023 Non-TAP Studies","2023 Non-TAP Studies",0.418509369709143,0.0898255836350753,0.0390652880480254,0.0519283759134216,-0.066228398135898,-0.0252574965741411
