"name","eng","country","region","study","priority","log_avg_sr","se_sr","avg_log_mult","se_mult","CRA_Window","MSL_Window","avg_mult","sortby","display"
"Immunology Puerto Rico CRA Engaged","CRA Window","Puerto Rico","Overall","Immunology","Overall",NA,NA,-0.396013296835735,0.417411083784108,NA,NA,0.672997747137398,"Immunology","Immunology"
"Immunology Puerto Rico MSL Engaged","MSL Window","Puerto Rico","Overall","Immunology","Overall",NA,NA,1.98253079141778,0.510644332298905,NA,NA,7.26109607106938,"Immunology","Immunology"
"Immunology Slovakia CRA Engaged","CRA Window","Slovakia","Overall","Immunology","Overall",NA,NA,-0.316158808746043,0.325258477933461,NA,NA,0.728943678343585,"Immunology","Immunology"
"Immunology Slovakia MSL Engaged","MSL Window","Slovakia","Overall","Immunology","Overall",NA,NA,-0.424992469829784,0.48618512995495,NA,NA,0.653774708146147,"Immunology","Immunology"
"Immunology South Africa CRA Engaged","CRA Window","South Africa","Overall","Immunology","Overall",NA,NA,0.584430350624329,0.428370636909369,NA,NA,1.79396876132796,"Immunology","Immunology"
"Immunology South Africa MSL Engaged","MSL Window","South Africa","Overall","Immunology","Overall",NA,NA,1.55415809419876,0.446444933382717,NA,NA,4.73110170600109,"Immunology","Immunology"
"Immunology South Korea CRA Engaged","CRA Window","South Korea","Overall","Immunology","Overall",NA,NA,0.178176290617796,0.2443337776217,NA,NA,1.19503597629655,"Immunology","Immunology"
"Immunology South Korea MSL Engaged","MSL Window","South Korea","Overall","Immunology","Overall",NA,NA,-0.239572782919661,0.4141550593223,NA,NA,0.786963993720365,"Immunology","Immunology"
"Immunology Spain CRA Engaged","CRA Window","Spain","Overall","Immunology","Overall",NA,NA,0.265868185054339,0.249304313614651,NA,NA,1.30456308644057,"Immunology","Immunology"
"Immunology Spain MSL Engaged","MSL Window","Spain","Overall","Immunology","Overall",NA,NA,0.363692688398539,0.299914309836935,NA,NA,1.4386320379031,"Immunology","Immunology"
"Immunology Taiwan CRA Engaged","CRA Window","Taiwan","Overall","Immunology","Overall",NA,NA,-0.387575364527712,0.28673001350616,NA,NA,0.678700482382608,"Immunology","Immunology"
"Immunology Taiwan MSL Engaged","MSL Window","Taiwan","Overall","Immunology","Overall",NA,NA,1.10881149707877,0.348654162815151,NA,NA,3.03075419284614,"Immunology","Immunology"
"Immunology Turkey CRA Engaged","CRA Window","Turkey","Overall","Immunology","Overall",NA,NA,-0.368855014957227,0.850469774306936,NA,NA,0.691525664060479,"Immunology","Immunology"
"Immunology Turkey MSL Engaged","MSL Window","Turkey","Overall","Immunology","Overall",NA,NA,2.08536307110949,0.754712458722947,NA,NA,8.04751277073812,"Immunology","Immunology"
"Immunology United Kingdom CRA Engaged","CRA Window","United Kingdom","Overall","Immunology","Overall",NA,NA,-1.63051461659981,0.822388306322072,NA,NA,0.195828771455258,"Immunology","Immunology"
"Immunology United Kingdom MSL Engaged","MSL Window","United Kingdom","Overall","Immunology","Overall",NA,NA,1.90914158655014,0.836860053853845,NA,NA,6.74729434365337,"Immunology","Immunology"
"Immunology United States of America CRA Engaged","CRA Window","United States of America","Overall","Immunology","Overall",NA,NA,0.0781589177432763,0.130751697572917,NA,NA,1.08129448189572,"Immunology","Immunology"
"Immunology United States of America MSL Engaged","MSL Window","United States of America","Overall","Immunology","Overall",NA,NA,0.460163306239652,0.198510702681628,NA,NA,1.58433269528423,"Immunology","Immunology"
"M20-370 CRA Engaged","CRA Window","Overall","Overall","M20-370","Overall",NA,NA,0.214763074714997,0.138977941778242,16,22,1.23956817712896,"Immunology >> M20-370","   M20-370"
"M20-370 MSL Engaged","MSL Window","Overall","Overall","M20-370","Overall",NA,NA,-0.0278924739022665,0.164459813504834,16,22,0.972492929549322,"Immunology >> M20-370","   M20-370"
"M20-370 Germany CRA Engaged","CRA Window","Germany","Overall","M20-370","Overall",NA,NA,0.879607862723868,0.540604080820557,16,22,2.40995448811309,"Immunology >> M20-370","   M20-370"
"M20-370 Germany MSL Engaged","MSL Window","Germany","Overall","M20-370","Overall",NA,NA,-0.673653461669729,0.525489162229047,16,22,0.509842481043676,"Immunology >> M20-370","   M20-370"
"M20-370 Japan CRA Engaged","CRA Window","Japan","Overall","M20-370","Overall",NA,NA,-0.355060853824421,0.509373799981232,16,22,0.701130775421233,"Immunology >> M20-370","   M20-370"
"M20-370 Japan MSL Engaged","MSL Window","Japan","Overall","M20-370","Overall",NA,NA,-0.36469411910015,0.858665162638885,16,22,0.694409024853137,"Immunology >> M20-370","   M20-370"
"M20-370 New Zealand CRA Engaged","CRA Window","New Zealand","Overall","M20-370","Overall",NA,NA,0.17979780247858,0.484276541116491,16,22,1.19697531321016,"Immunology >> M20-370","   M20-370"
